"Judge","Candidate.Chosen","Candidate.Not.Chosen","Time.Taken","Internal","Date.Created"
2009,355,247,153.9,TRUE,"04/08/2017 05:27"
2009,300,229,17,TRUE,"30/07/2017 09:49"
2009,143,120,134.1,TRUE,"03/08/2017 06:01"
2009,129,149,8.7,TRUE,"07/08/2017 06:59"
2009,147,227,109.3,TRUE,"06/08/2017 10:17"
2009,84,237,91.3,TRUE,"07/08/2017 06:55"
2009,89,325,11,TRUE,"07/08/2017 07:03"
2009,310,320,158.7,TRUE,"07/08/2017 07:03"
2009,228,351,8.2,TRUE,"03/08/2017 12:13"
2009,120,303,5.3,TRUE,"04/08/2017 05:35"
2009,105,289,11.3,TRUE,"02/08/2017 21:48"
2009,245,259,45.2,TRUE,"04/08/2017 05:35"
2009,97,38,7.1,TRUE,"03/08/2017 05:53"
2009,285,265,2.3,TRUE,"06/08/2017 10:19"
2009,206,315,95.4,TRUE,"07/08/2017 06:53"
2009,168,102,78.4,TRUE,"07/08/2017 07:00"
2009,114,172,187.8,TRUE,"03/08/2017 05:49"
2009,87,311,54.4,TRUE,"04/08/2017 05:44"
2009,279,71,46.2,TRUE,"04/08/2017 05:53"
2009,292,153,9.3,TRUE,"03/08/2017 05:58"
2009,317,108,104.4,TRUE,"30/07/2017 09:56"
2009,98,37,148.5,TRUE,"10/08/2017 05:47"
2009,142,28,125,TRUE,"06/08/2017 10:21"
2009,95,325,17.2,TRUE,"03/08/2017 12:17"
2009,301,39,114.5,TRUE,"07/08/2017 06:51"
2009,268,328,154.6,TRUE,"03/08/2017 12:35"
2009,119,70,5.6,TRUE,"02/08/2017 21:47"
2009,268,144,7.1,TRUE,"03/08/2017 06:01"
2009,46,97,30.8,TRUE,"04/08/2017 05:34"
2009,258,204,128.7,TRUE,"06/08/2017 10:15"
2009,269,236,322.8,TRUE,"30/07/2017 08:55"
2009,174,170,9,TRUE,"06/08/2017 10:06"
2009,166,290,18,TRUE,"07/08/2017 06:49"
2009,315,298,5.3,TRUE,"06/08/2017 09:56"
2009,110,233,15.4,TRUE,"07/08/2017 06:49"
2009,251,86,41.6,TRUE,"10/08/2017 05:37"
2009,277,225,204.3,TRUE,"03/08/2017 05:52"
2009,57,39,6.4,TRUE,"03/08/2017 05:53"
2009,105,51,15.8,TRUE,"06/08/2017 10:15"
2015,58,288,8.3,TRUE,"28/07/2017 12:33"
2015,187,146,47.5,TRUE,"29/07/2017 20:53"
2015,146,153,287.3,TRUE,"27/07/2017 12:10"
2015,194,2,55.9,TRUE,"29/07/2017 20:48"
2015,307,179,84.7,TRUE,"29/07/2017 20:52"
