School,Judge,Candidate.Chosen,Candidate.Not.Chosen
8454038,483,85,81
8454038,483,1010,81
8454038,483,1010,95
8454038,483,95,87
8454038,483,87,91
8454038,483,102,91
8454038,483,102,810
8454038,483,83,810
8454038,483,83,94
8454038,483,82,94
8454038,483,88,82
8454038,483,88,106
8454038,483,104,106
8454038,483,104,84
8454038,483,84,92
8454038,467,82,89
8454038,467,89,91
8454038,467,105,91
8454038,467,84,105
8454038,467,87,84
8454038,467,88,87
8454038,467,88,810
8454038,467,810,103
8454038,467,103,109
8454038,467,93,109
8454038,467,94,93
8454038,467,81,94
8454038,467,92,81
8454038,467,101,92
8454038,467,104,101
8454038,467,1010,104
8454038,467,1010,107
8454038,467,107,95
8454038,467,95,85
8454038,467,83,85
8454038,467,86,83
8454038,467,106,86
8454038,467,102,106
8454038,484,85,88
8454038,484,88,106
8454038,484,106,105
8454038,484,89,105
8454038,484,83,89
8454038,484,86,83
8454038,484,101,86
8454038,484,101,92
8454038,484,94,92
8454038,484,107,94
8454038,484,103,107
8454038,484,103,102
8454038,484,102,87
8454038,484,81,87
8454038,484,109,81
8454038,484,104,109
8454038,484,1010,104
8454038,484,1010,91
8454038,484,84,91
8454038,484,84,95
8454038,484,93,95
8454038,484,82,93
8454038,484,810,82
8454038,485,101,88
8454038,485,94,88
8454038,485,91,94
8454038,485,82,91
8454038,485,82,92
8454038,485,107,92
8454038,485,107,81
8454038,485,86,81
8454038,485,109,86
8454038,485,1010,109
8454038,485,85,1010
8454038,485,103,85
8454038,485,103,102
8454038,485,83,102
8454038,485,83,810
8454038,485,84,810
8454038,485,104,84
8454038,485,106,104
8454038,485,106,87
8454038,485,87,95
8454038,485,95,93
8454038,485,105,93
8454038,485,89,105
8454038,468,91,82
8454038,468,101,82
8454038,468,101,87
8454038,468,87,92
8454038,468,92,93
8454038,468,105,93
8454038,468,105,85
8454038,468,85,810
8454038,468,103,810
8454038,468,102,109
8454038,468,102,91
8454038,468,91,93
8454038,468,93,92
8454038,468,88,92
8454038,468,87,88
8454038,468,94,87
8454038,468,103,109
8454038,468,109,810
8454038,468,91,810
8454038,468,104,91
8454038,468,104,107
8454038,468,107,82
8454038,468,105,82
8454038,468,105,101
8454038,468,85,101
8454038,468,86,85
8454038,468,86,87
8454038,468,87,84
8454038,468,94,84
8454038,468,81,94
8454038,468,81,89
8454038,468,106,89
8454038,468,106,88
8454038,468,88,95
8454038,468,102,95
8454038,468,83,102
8454038,468,1010,83
8454038,468,1010,92
8454038,468,93,92
8454038,486,94,810
8454038,486,810,92
8454038,486,92,104
8454038,486,104,89
8454038,486,89,103
8454038,486,103,84
8454038,486,88,84
8454038,486,88,91
8454038,486,91,93
8454038,486,93,109
8454038,486,109,83
8454038,486,83,105
8454038,486,105,107
8454038,486,107,102
8454038,486,102,85
8454038,486,85,106
8454038,486,106,95
8454038,486,95,87
8454038,486,87,101
8454038,486,101,1010
8454038,486,1010,86
8454038,486,86,81
8454038,486,81,82
8454038,469,86,87
