session,judge,candidate_chosen,candidate_not_chosen
2,26,RC,Pepsi Real Sugar
2,26,Mexican Coke,RC
2,27,Pepsi Real Sugar,Pepsi
2,27,Pepsi Real Sugar,Sams
2,27,Sams,Pepsi
2,27,Sams,Mexican Coke
2,27,Mexican Coke,RC
2,28,Sams,Pepsi Real Sugar
2,28,Sams,Mexican Coke
2,28,Sams,RC
2,28,Mexican Coke,Pepsi Real Sugar
2,28,RC,Pepsi Real Sugar
2,29,RC,Coca Cola
2,29,Pepsi,RC
2,29,RC,Pepsi Real Sugar
2,29,RC,Sams
2,29,RC,Mexican Coke
2,30,Coca Cola,Mexican Coke
2,30,Sams,Mexican Coke
2,30,RC,Mexican Coke
2,30,RC,Coca Cola
2,30,Pepsi,RC
2,31,Coca Cola,Sams
2,31,Pepsi Real Sugar,Sams
2,31,Coca Cola,Mexican Coke
2,31,RC,Coca Cola
2,31,Pepsi Real Sugar,RC
2,32,Pepsi Real Sugar,Coca Cola
2,32,Pepsi Real Sugar,Sams
2,32,Pepsi Real Sugar,RC
2,32,RC,Pepsi
2,32,RC,Mexican Coke
2,33,Pepsi,Mexican Coke
2,33,Sams,Mexican Coke
2,33,RC,Mexican Coke
2,33,Coca Cola,RC
2,33,Sams,RC
2,34,Pepsi,Sams
2,34,Pepsi Real Sugar,Mexican Coke
2,34,Sams,Mexican Coke
2,34,RC,Mexican Coke
2,34,RC,Sams
2,35,RC,Pepsi
2,35,Pepsi Real Sugar,Pepsi
2,35,Pepsi Real Sugar,Sams
2,35,Sams,RC
2,35,Mexican Coke,RC
2,36,Mexican Coke,Pepsi
2,36,Mexican Coke,Pepsi Real Sugar
2,36,Sams,Mexican Coke
2,36,RC,Mexican Coke
2,36,Coca Cola,RC
2,37,Pepsi Real Sugar,Sams
2,37,Mexican Coke,Coca Cola
2,37,Mexican Coke,RC
2,37,RC,Coca Cola
2,37,Pepsi Real Sugar,RC
2,38,Pepsi Real Sugar,Sams
2,38,Pepsi Real Sugar,RC
2,38,Sams,Pepsi
