judge,candidate_chosen,candidate_not_chosen,time_taken
aWSbAXGNHgzZsBTnz,yoQr5KJnZboZZXt3K,KuHzmmptLeDhhsWPx,32.637
fGNbMkneyek8tyCG9,MFcor3aTKnq29A2W6,FCwSmYgHBoASKQyD4,56.253
fJC3QTuTKQCjPdtg7,Mc6NBSWC4NvRT3tBn,ea5tYyskbe2hJxyBg,51.07
qH3PsB5bTfazu6C69,ea5tYyskbe2hJxyBg,ACEGpME2RJvXyuynF,5.382
qH3PsB5bTfazu6C69,yoQr5KJnZboZZXt3K,fxspS2SEz3Bv3LgYY,5.523
crjQ3f6BsbXqwkqcK,Yt6mzQcy3Qejg82CQ,zoyLcsyuhL33JMGaA,24.127
qH3PsB5bTfazu6C69,ea5tYyskbe2hJxyBg,MFcor3aTKnq29A2W6,27.388
aWSbAXGNHgzZsBTnz,ea5tYyskbe2hJxyBg,fxspS2SEz3Bv3LgYY,42.33
qH3PsB5bTfazu6C69,6gZgcNytec65SZGN7,fxspS2SEz3Bv3LgYY,587.895
crjQ3f6BsbXqwkqcK,S2jRQuwxfrevH7NTy,FCwSmYgHBoASKQyD4,6.373
fJC3QTuTKQCjPdtg7,MFcor3aTKnq29A2W6,dgovLjAkHKactw8Te,108.296
fJC3QTuTKQCjPdtg7,T5obF7dxiMLKmjcJJ,KuHzmmptLeDhhsWPx,79.549
fJC3QTuTKQCjPdtg7,6gZgcNytec65SZGN7,KuHzmmptLeDhhsWPx,18.106
crjQ3f6BsbXqwkqcK,yoQr5KJnZboZZXt3K,T5obF7dxiMLKmjcJJ,4.477
fJC3QTuTKQCjPdtg7,Mc6NBSWC4NvRT3tBn,dgovLjAkHKactw8Te,4.928
qH3PsB5bTfazu6C69,ea5tYyskbe2hJxyBg,S2jRQuwxfrevH7NTy,19.228
aWSbAXGNHgzZsBTnz,cvP4FRNexvEeDmSwW,MFcor3aTKnq29A2W6,35.978
aWSbAXGNHgzZsBTnz,MFcor3aTKnq29A2W6,T5obF7dxiMLKmjcJJ,55.391
aWSbAXGNHgzZsBTnz,ACEGpME2RJvXyuynF,FCwSmYgHBoASKQyD4,9.471
